city, Bangalore, Mysore, Hubli, Mangalore, Gulbarga, Belgaum, Bellary, Shimoga
Bangalore, 0, 150, 410, 372, 573, 504, 312, 299
Mysore, 150, 0, 467, 254, NULL, 565, 370, 254
Hubli, 410, 467, 0, 381, 377, 100, 209, 200
Mangalore, 372, 254, 381, 0, 737, 444, 433, 200
Gulbarga, 573, NULL, 377, 737, 0, 373, 298, 486
Belgaum, 504, 565, 100, 444, 373, 0, 311, 295
Bellary, 312, 370, 209, 433, 298, 311, 0, 251
Shimoga, 299, 254, 200, 200, 486, 295, 251, 0
Tumkur, 71, 153, 346, 296, 547, 468, 238, 206
Bijapur, 526, 589, 214, 595, 153, 198, 270, NULL
Hospet, 328, 393, 148, 383, 298, 248, 63, 200
Chitradurga, 204, 257, 211, 304, NULL, 306, 137, 106
Udupi, 396, 309, 323, 64, 620, 385, 383, 150
